## {'tot': 2309023102869632.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        DD         npairs   
  2.8050e+00   2.8336e+00   1.0395e+00   3.4853e+08   3.4853e+08
  3.5313e+00   3.5728e+00   1.2714e+00   5.4125e+08   5.4125e+08
  4.4457e+00   4.4982e+00   1.5017e+00   8.5281e+08   8.5281e+08
  5.5968e+00   5.6633e+00   1.7321e+00   1.3394e+09   1.3394e+09
  7.0460e+00   7.1299e+00   1.9623e+00   2.0944e+09   2.0944e+09
  8.8703e+00   8.9757e+00   2.1926e+00   3.2545e+09   3.2545e+09
  1.1167e+01   1.1299e+01   2.4228e+00   5.0231e+09   5.0231e+09
  1.4059e+01   1.4225e+01   2.6531e+00   7.6960e+09   7.6960e+09
  1.7699e+01   1.7909e+01   2.8834e+00   1.1727e+10   1.1727e+10
  2.2281e+01   2.2549e+01   3.1137e+00   1.7853e+10   1.7853e+10
  2.8050e+01   2.8392e+01   3.3442e+00   2.7245e+10   2.7245e+10
  3.5313e+01   3.5748e+01   3.5746e+00   4.1792e+10   4.1792e+10
  4.4457e+01   4.5013e+01   3.8050e+00   6.4456e+10   6.4456e+10
  5.5968e+01   5.6676e+01   4.0354e+00   9.9737e+10   9.9737e+10
  7.0460e+01   7.1356e+01   4.2657e+00   1.5474e+11   1.5474e+11
  8.8703e+01   8.9834e+01   4.4960e+00   2.4070e+11   2.4070e+11
  1.1167e+02   1.1310e+02   4.7263e+00   3.7507e+11   3.7507e+11
  1.4059e+02   1.4239e+02   4.9566e+00   5.8562e+11   5.8562e+11
  1.7699e+02   1.7924e+02   5.1868e+00   9.1305e+11   9.1305e+11
  2.2281e+02   2.2566e+02   5.4170e+00   1.4251e+12   1.4251e+12
